"crl.tot","dollar","bang","money","n000","make","yesno"
244,0,0.149,0,0,0,"n"
139,0.113,0.963,0,0,0,"y"
44,3.26,0,0,0,0,"y"
48,0,0,0,0,0,"n"
45,0,0.403,0,0,0,"n"
36,0.266,0.8,0,0,1.63,"y"
53,0.212,0,1.31,0,0,"y"
17,0,0,0,0,0,"n"
36,0,0,0,0,0,"y"
71,0,0,0,0,0,"n"
264,0.101,0.076,0.16,0,0,"y"
675,0,0,0,0,0.27,"n"
1313,0.079,0.099,0.05,0,0.05,"y"
255,0.097,0,0,0,0,"n"
5,0,0,0,0,2.27,"n"
75,0,0.128,0,0,0,"n"
303,0,0,0,0,0,"n"
319,0.438,0.39,0,0.94,0,"y"
30,0,0,0,0,0,"n"
254,0.042,0.042,0,0,0.12,"y"
61,0,0,0,0,0,"n"
1466,0.228,0.241,0.16,0.9,0.16,"y"
211,0.209,0.209,0.76,0.25,0.25,"y"
1133,0.056,0.352,0.4,0,0.1,"y"
1031,0.024,0,0,0,0.17,"n"
84,0,0,0,0,0,"y"
110,0.223,0.298,0,0.46,0,"y"
47,0,0.327,0,0,0,"n"
549,0,0.616,0,0,0,"y"
21,0,0.187,0,0,0,"n"
5,0,0,0,0,0,"n"
219,0.221,1.254,0,1.41,0.47,"y"
179,0,0.874,0.43,0,0.43,"y"
200,0,0,0,0,0,"n"
186,0.501,0.055,0.63,0.31,0,"y"
72,0,0.896,0,0,0,"y"
24,0,0,0,0,0,"y"
96,0,0,0,0,0,"n"
1763,0,0,0,0,0.04,"n"
191,0,0,0,0,0,"n"
36,0,0,0,0,0,"n"
1043,0.397,1.01,0.3,0,0.1,"y"
461,0.37,1.975,0,0.7,0,"y"
576,0,0,0,0,0,"n"
25,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
33,0.137,0.275,1,1,0,"y"
6,0,0,0,0,0,"n"
527,0.015,0,0,0,0.1,"n"
87,0,0.559,0,0,0,"y"
62,0,0,0,0,0,"y"
64,0,0,0,0,0,"n"
10,0,0,0,0,0,"n"
281,0.116,0.701,0.69,0,0,"y"
24,0,0.955,0,0,0,"n"
62,0,0,0,0,0.31,"n"
21,0,0.581,0,0,0,"n"
5,0,0,0,0,0,"n"
646,0,0.189,0,0,0,"y"
74,0.347,0.486,0,1.92,0,"y"
11,0,0,0,0,0,"n"
107,0,0.443,0,0,0,"y"
557,0,0.594,0,0,0,"y"
266,0.263,0.702,0.52,1.58,0,"y"
181,0,0.518,0,0,0,"y"
40,0,0,0,0,0,"n"
133,0.149,0.298,0,1.31,0.43,"y"
5,0,0,0,0,0,"n"
133,0.164,2.306,0.93,0,0.93,"y"
215,0,0.647,0,0,0.22,"y"
142,0.121,0.202,0.69,0,0.23,"n"
8,0,0,0,0,0,"n"
387,0,0,0,0,0,"n"
1278,0.109,0.369,0.17,0.08,0.08,"y"
63,0.117,1.179,0,0,0,"y"
83,0,0,0,0,0.9,"n"
3,0,0,0,0,0,"n"
76,0,0.281,0,0,0,"n"
66,0,0.278,0,0,0,"n"
508,0.086,0,0,0,0.34,"y"
1351,0.158,0.491,0.1,0.6,0.1,"y"
6,0,0,0,0,0,"n"
413,0.141,0,0,0,0,"n"
50,0,0,0,0,0,"n"
705,0,0,0,0,0,"n"
87,0,0.565,0,0,0,"y"
119,0,0,0,0,0,"n"
26,0,0,0,0,1.23,"n"
45,0.291,0.145,0,0,0,"y"
22,0,0,0,0,0,"n"
773,0.244,1.631,0,0,0.45,"y"
528,0.03,0.246,0.09,0.36,0.09,"y"
292,0,0,0,0,0,"y"
598,0.011,0,0,0,0,"n"
328,0,0.222,0.34,0,0,"y"
8,0,0,0,0,0,"n"
341,0.221,0.554,0.28,0,0.28,"y"
18,0,0,9.09,0,0,"n"
173,0,0.159,0,0,0,"n"
1016,3.305,0.141,1.47,0.31,0.21,"y"
315,0,0,0,0,0,"n"
10,0,0,0,0,0,"n"
122,0,0,0,0,0,"n"
140,0.233,0.233,0,1.42,0,"y"
3,0,0,0,0,0,"n"
71,0,0,0,0,0,"n"
139,0.159,0,0.32,0,0,"y"
736,0.471,1.211,0,0,0,"y"
5,0,0,0,0,0,"n"
53,0,0.407,0,0,0,"n"
39,0,0,0,0,0,"n"
13,0,0,0,0,0,"n"
347,0.072,0.072,0,0,0.67,"n"
6,0,0,0,0,0,"n"
2761,0.023,0.095,0,0.46,0,"y"
107,0,0,0,0,0,"n"
51,0,0,0,0,0,"n"
37,0,0.259,0,0,0,"n"
96,0.238,0.238,0.68,0.68,0,"y"
343,0.051,0.103,0,0,0.3,"y"
253,0.061,0.493,0,0,0,"y"
334,0,0.063,0,0,0,"n"
7,0,0,0,0,0,"n"
73,0,0.133,0,0,0,"n"
182,0,0.421,0,0,0.59,"y"
3,0,0,0,0,0,"n"
462,0.167,0.01,0.05,0.82,0.17,"y"
36,0,1.907,0,0,0,"y"
10,0,0,0,0,0,"n"
94,0,0.197,0,0,0,"n"
195,0,0.693,0.12,0,0,"y"
605,0.012,0.012,0.08,0,0,"n"
4,0,0,0,0,0,"n"
453,0.165,0.01,0.05,0.76,0.17,"y"
71,0,0.148,0,0,0,"n"
206,0,0,0,0,0,"n"
16,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
10062,1.785,1.542,0,0,0,"y"
127,0,1.627,0,0,0,"y"
565,0.258,1.466,0,0,0,"y"
4,0,0,0,0,0,"n"
425,0.175,0.878,0.37,0,0,"y"
19,0,0,0,0,0,"n"
485,0.155,1.634,0.74,0.24,0.49,"y"
10,0,0.653,0,0,0,"n"
87,0,0.102,0,0,0,"n"
1609,0.609,0.05,0,0.21,0.1,"y"
27,0,0,0,0,0,"n"
479,0,0,0,0,0,"n"
150,0,0.129,0,0,0,"n"
239,0.244,0.488,0,0.48,0,"y"
54,0.201,0,1.31,0,0,"y"
186,0.232,1.085,0,1.45,0.48,"y"
373,0,0,0,0,0,"n"
14,0,0,0,0,0,"n"
46,0,0,0,0,0,"n"
336,0.716,0.342,0.17,0,0.17,"y"
189,0,0.348,1.4,0.35,0.7,"y"
159,0,0,0,0,0,"n"
121,0,0.239,0,0,0,"n"
16,0,0,0,0,0,"y"
1056,0.109,0.1,0,0,0.06,"n"
207,0,0,0,0,0,"n"
91,0,0,0,0.46,0,"y"
35,0,0,0,0,0,"n"
98,0.729,1.276,0,0.52,0,"y"
136,0,0,0,0,0,"n"
26,0,0,0,0,0,"n"
71,0,0.061,0,0,0,"n"
51,0.103,0.515,0,0,0.65,"y"
179,1.457,0.072,0,2.53,0.42,"y"
226,0,0.064,0,0,0,"n"
65,0,0.262,0,0,0,"n"
10,0,0,0,0,0,"n"
